Id	Source	Target	Developer Note	Max Length	Comment	Xliff Generator Note	NAB AL Tool Refresh Xlf	State	State Qualifier
Table 331772574 - Property 2879900210	Archive Document Quality Header					Table Archive Document Qlty Header - Property Caption	New translation.		
Table 331772574 - Field 711246786 - Property 2879900210	Cast No. Vendor					Table Archive Document Qlty Header - Field Cast No. Vendor - Property Caption	New translation.		
Table 331772574 - Field 1608463932 - Property 2879900210	Composition Quality Code					Table Archive Document Qlty Header - Field Composition Quality Code - Property Caption	New translation.		
Table 331772574 - Field 1407200743 - Property 2879900210	Creation Date					Table Archive Document Qlty Header - Field Creation Date - Property Caption	New translation.		
Table 331772574 - Field 3461834954 - Property 2879900210	Description					Table Archive Document Qlty Header - Field Description - Property Caption	New translation.		
Table 331772574 - Field 486908828 - Property 2879900210	Document No.					Table Archive Document Qlty Header - Field Document No. - Property Caption	New translation.		
Table 331772574 - Field 568743302 - Property 2879900210	Item No.					Table Archive Document Qlty Header - Field Item No. - Property Caption	New translation.		
Table 331772574 - Field 2846309017 - Property 2879900210	Legal Normative Code					Table Archive Document Qlty Header - Field Legal Normative Code - Property Caption	New translation.		
Table 331772574 - Field 1509038407 - Property 2879900210	Link - Source ID					Table Archive Document Qlty Header - Field Link - Source ID - Property Caption	New translation.		
Table 331772574 - Field 374199100 - Property 2879900210	Link - Source Type					Table Archive Document Qlty Header - Field Link - Source Type - Property Caption	New translation.		
Table 331772574 - Field 374199100 - Property 62802879	,Sales Order,Purchase Order					Table Archive Document Qlty Header - Field Link - Source Type - Property OptionCaption	New translation.		
Table 331772574 - Field 1351594800 - Property 2879900210	No. Series					Table Archive Document Qlty Header - Field No. Series - Property Caption	New translation.		
Table 331772574 - Field 1441826626 - Property 2879900210	Raw Materials Group Code					Table Archive Document Qlty Header - Field Raw Materials Group Code - Property Caption	New translation.		
Table 331772574 - Field 3201609449 - Property 2879900210	Sales Shipment No.					Table Archive Document Qlty Header - Field Sales Shipment No. - Property Caption	New translation.		
Table 331772574 - Field 345314420 - Property 2879900210	Source ID					Table Archive Document Qlty Header - Field Source ID - Property Caption	New translation.		
Table 331772574 - Field 627063663 - Property 2879900210	Source Ref. No.					Table Archive Document Qlty Header - Field Source Ref. No. - Property Caption	New translation.		
Table 331772574 - Field 1753214751 - Property 2879900210	Source Type					Table Archive Document Qlty Header - Field Source Type - Property Caption	New translation.		
